Datetime,BNB-USD,BTC-USD,ETH-USD
2024-02-05 00:00:00+00:00,305.2257995605469,42372.81640625,2281.00537109375
2024-02-05 01:00:00+00:00,303.6005859375,42501.58203125,2281.849365234375
2024-02-05 02:00:00+00:00,303.18328857421875,42408.19921875,2279.46240234375
2024-02-05 03:00:00+00:00,304.12548828125,42675.328125,2292.82470703125
2024-02-05 04:00:00+00:00,303.30584716796875,42718.7578125,2293.093505859375
2024-02-05 05:00:00+00:00,303.22314453125,42741.3828125,2293.255126953125
2024-02-05 06:00:00+00:00,305.1582336425781,42788.9375,2298.53369140625
2024-02-05 07:00:00+00:00,304.0356140136719,43013.55859375,2307.616943359375
2024-02-05 08:00:00+00:00,305.0018005371094,43000.9453125,2320.69970703125
2024-02-05 09:00:00+00:00,303.0815734863281,42999.3125,2318.037841796875
2024-02-05 10:00:00+00:00,303.8371887207031,43107.3515625,2321.906982421875
2024-02-05 11:00:00+00:00,304.59320068359375,43145.78125,2327.25439453125
2024-02-05 12:00:00+00:00,302.622314453125,43218.98046875,2323.2978515625
2024-02-05 13:00:00+00:00,302.6500244140625,43383.5390625,2327.547607421875
2024-02-05 14:00:00+00:00,301.9806823730469,43136.2421875,2315.88671875
2024-02-05 15:00:00+00:00,300.6124572753906,42593.31640625,2294.701904296875
2024-02-05 16:00:00+00:00,300.7312316894531,42700.5390625,2298.8408203125
2024-02-05 17:00:00+00:00,300.7943115234375,42676.97265625,2299.762451171875
2024-02-05 18:00:00+00:00,301.00006103515625,42639.29296875,2297.455810546875
2024-02-05 19:00:00+00:00,301.3172607421875,42725.58984375,2301.945556640625
2024-02-05 20:00:00+00:00,301.3658447265625,42353.14453125,2290.4228515625
2024-02-05 21:00:00+00:00,300.48370361328125,42356.0859375,2287.2314453125
2024-02-05 22:00:00+00:00,300.00726318359375,42457.984375,2291.989990234375
2024-02-05 23:00:00+00:00,300.8616638183594,42657.2109375,2298.96240234375
2024-02-06 00:00:00+00:00,301.07373046875,42556.5234375,2300.022705078125
2024-02-06 01:00:00+00:00,301.0947570800781,42636.99609375,2305.33544921875
2024-02-06 02:00:00+00:00,302.3267822265625,42808.24609375,2321.609130859375
2024-02-06 03:00:00+00:00,302.048583984375,42808.9296875,2315.07373046875
2024-02-06 04:00:00+00:00,301.9331970214844,42777.296875,2312.101806640625
2024-02-06 05:00:00+00:00,301.0015563964844,42735.921875,2310.875
2024-02-06 06:00:00+00:00,301.3251037597656,42734.9765625,2313.98876953125
2024-02-06 07:00:00+00:00,301.3399353027344,42849.98046875,2323.93603515625
2024-02-06 08:00:00+00:00,302.9326477050781,43011.4453125,2333.41259765625
2024-02-06 09:00:00+00:00,302.7413024902344,42955.42578125,2331.79541015625
2024-02-06 10:00:00+00:00,301.81427001953125,42755.52734375,2324.24560546875
2024-02-06 11:00:00+00:00,301.40185546875,42786.171875,2323.738037109375
2024-02-06 12:00:00+00:00,302.2095947265625,42721.8359375,2321.330322265625
2024-02-06 13:00:00+00:00,303.07354736328125,42820.90625,2334.74755859375
2024-02-06 14:00:00+00:00,302.0760192871094,42903.3671875,2336.286376953125
2024-02-06 15:00:00+00:00,302.4064025878906,43211.109375,2341.583984375
2024-02-06 16:00:00+00:00,302.6463317871094,43172.63671875,2347.260009765625
2024-02-06 17:00:00+00:00,302.3507995605469,43163.75390625,2351.973388671875
2024-02-06 18:00:00+00:00,302.993896484375,43173.92578125,2363.3623046875
2024-02-06 19:00:00+00:00,303.37176513671875,43264.6328125,2378.380615234375
2024-02-06 20:00:00+00:00,303.25689697265625,43107.53125,2380.90771484375
2024-02-06 21:00:00+00:00,303.026611328125,43183.6015625,2381.815673828125
2024-02-06 22:00:00+00:00,303.2078857421875,43198.25,2381.699951171875
2024-02-06 23:00:00+00:00,302.68719482421875,43085.640625,2372.196533203125
2024-02-07 00:00:00+00:00,302.3244934082031,43080.9921875,2379.5166015625
2024-02-07 01:00:00+00:00,302.287353515625,43045.8515625,2375.880615234375
2024-02-07 02:00:00+00:00,301.6954345703125,43046.31640625,2375.361572265625
2024-02-07 03:00:00+00:00,300.8985290527344,42775.95703125,2363.23193359375
2024-02-07 04:00:00+00:00,301.59967041015625,42897.92578125,2358.94384765625
2024-02-07 05:00:00+00:00,302.11199951171875,42995.0625,2364.105712890625
2024-02-07 06:00:00+00:00,302.2608642578125,42917.53515625,2361.565673828125
2024-02-07 07:00:00+00:00,302.1971740722656,42883.0625,2360.34619140625
2024-02-07 08:00:00+00:00,302.9179382324219,42900.5859375,2360.991455078125
2024-02-07 09:00:00+00:00,303.69818115234375,43137.4765625,2370.57861328125
2024-02-07 10:00:00+00:00,303.21942138671875,42846.52734375,2353.886962890625
2024-02-07 11:00:00+00:00,302.44580078125,42901.48046875,2360.0791015625
2024-02-07 12:00:00+00:00,303.10797119140625,43046.8671875,2371.315673828125
2024-02-07 13:00:00+00:00,302.6043395996094,43131.8671875,2371.969970703125
2024-02-07 14:00:00+00:00,303.3796691894531,42994.82421875,2365.004638671875
2024-02-07 15:00:00+00:00,303.3171691894531,43040.0546875,2367.356689453125
2024-02-07 16:00:00+00:00,304.3547668457031,43173.28515625,2393.051513671875
2024-02-07 17:00:00+00:00,305.9595642089844,43493.515625,2410.189208984375
2024-02-07 18:00:00+00:00,306.526123046875,43621.03515625,2416.27197265625
2024-02-07 19:00:00+00:00,306.4192199707031,43610.95703125,2420.444091796875
2024-02-07 20:00:00+00:00,307.7540588378906,44109.109375,2437.58740234375
2024-02-07 21:00:00+00:00,308.34515380859375,44178.0859375,2429.638427734375
2024-02-07 22:00:00+00:00,308.12762451171875,44147.1171875,2424.662353515625
2024-02-07 23:00:00+00:00,307.67584228515625,44317.8359375,2423.901611328125
2024-02-08 00:00:00+00:00,309.1368713378906,44643.0234375,2433.8271484375
2024-02-08 01:00:00+00:00,309.2901611328125,44659.71484375,2442.239501953125
2024-02-08 02:00:00+00:00,312.61749267578125,44622.4140625,2433.547607421875
2024-02-08 03:00:00+00:00,311.3167724609375,44525.97265625,2432.920654296875
2024-02-08 04:00:00+00:00,314.1425476074219,44470.33984375,2426.15478515625
2024-02-08 05:00:00+00:00,313.1527404785156,44527.23828125,2421.90234375
2024-02-08 06:00:00+00:00,313.4867248535156,44453.26171875,2419.970458984375
2024-02-08 07:00:00+00:00,314.362548828125,44497.52734375,2420.56591796875
2024-02-08 08:00:00+00:00,315.355224609375,44705.62890625,2423.851318359375
2024-02-08 09:00:00+00:00,315.54193115234375,44679.890625,2423.33837890625
2024-02-08 10:00:00+00:00,316.3240661621094,44798.23046875,2422.551513671875
